order_id,brand_name,product_name,sales_amount,sales_date
0000001,Nokia,Nk400,686.0,2021-09-30
0000002,Nokia,Nk320,630.0,2021-05-16
0000003,Apple,iphone13,893.0,2021-10-14
0000004,Samsung,galaxy13,720.0,2022-06-22
0000005,Nokia,Nk320,690.0,2022-11-26
0000006,Samsung,galaxy11,765.0,2022-05-20
0000007,Samsung,watch340,267.0,2021-09-28
0000008,Nokia,Nk400,714.0,2020-10-05
0000009,Nokia,Nk320,678.0,2021-03-19
0000010,Samsung,watch320,206.67,2020-12-10
0000011,Samsung,galaxy13,864.0,2022-01-12
0000012,Samsung,watch340,333.0,2022-01-18
0000013,Apple,iphone13,1092.5,2021-05-25
0000014,Apple,IpadMini,420.0,2020-04-15
0000015,Apple,iphone13,902.5,2022-07-12
0000016,Nokia,Nk500,892.5,2020-05-24
0000017,Samsung,watch320,276.39,2021-07-26
0000018,Samsung,galaxy11,782.0,2022-08-14
0000019,Nokia,Nk400,742.0,2022-08-24
0000020,Nokia,Nk500,690.0,2022-08-05
0000021,Samsung,watch340,339.0,2022-07-26
0000022,Apple,iphone12,981.0,2020-10-06
0000023,Samsung,galaxy10,712.0,2022-02-25
0000024,Samsung,galaxy11,790.5,2021-09-12
0000025,Samsung,galaxy11,680.0,2022-12-02
0000026,Samsung,galaxy12,857.5,2020-01-24
0000027,Apple,iphone11,688.0,2021-06-20
0000028,Samsung,galaxy12,822.5,2021-01-20
0000029,Samsung,galaxy10,664.0,2020-10-03
0000030,Samsung,galaxy11,926.5,2022-02-19
0000031,Nokia,Nk320,690.0,2022-10-26
0000032,Samsung,watch340,270.0,2022-09-11
0000033,Samsung,galaxy10,760.0,2020-04-18
0000034,Samsung,watch320,221.61,2022-09-01
0000035,Samsung,galaxy11,824.5,2022-04-03
0000036,Samsung,galaxy10,680.0,2020-04-30
0000037,Nokia,Nk400,679.0,2021-12-28
0000038,Apple,iphone13,1045.0,2022-05-06
0000039,Nokia,Nk500,870.0,2021-09-13
0000040,Apple,iphoneSE,840.0,2022-12-19
0000041,Apple,Macbook512,1360.0,2021-03-30
0000042,Samsung,galaxy11,986.0,2021-01-09
0000043,Nokia,Nk500,682.5,2022-10-17
0000044,Apple,iphone13,1073.5,2021-12-09
0000045,Apple,iphone11,912.0,2021-07-21
0000046,Samsung,watch320,253.98,2020-02-22
0000047,Nokia,Nk400,609.0,2021-06-13
0000048,Nokia,Nk500,720.0,2022-07-06
0000049,Samsung,watch340,288.0,2021-12-12
0000050,Nokia,Nk320,582.0,2021-10-01
0000051,Nokia,Nk500,712.5,2020-06-18
0000052,Apple,iphone13,1016.5,2021-08-12
0000053,Samsung,watch320,199.2,2020-05-17
0000054,Samsung,galaxy10,768.0,2020-02-16
0000055,Nokia,Nk400,693.0,2020-04-29
0000056,Nokia,Nk500,840.0,2022-09-06
0000057,Apple,iphone11,816.0,2022-12-03
0000058,Apple,Macbook512,1520.0,2020-07-13
0000059,Apple,iphone11,944.0,2020-12-12
0000060,Nokia,Nk400,567.0,2021-08-23
0000061,Nokia,Nk400,693.0,2022-02-25
0000062,Samsung,watch340,294.0,2020-04-21
0000063,Samsung,galaxy13,801.0,2021-02-09
0000064,Samsung,galaxy12,752.5,2021-06-22
0000065,Apple,iphoneSE,644.0,2021-07-25
0000066,Nokia,Nk500,697.5,2021-12-14
0000067,Nokia,Nk500,727.5,2022-02-24
0000068,Apple,IpadMax,405.0,2020-04-13
0000069,Apple,iphone11,680.0,2021-11-17
0000070,Apple,iphone13,959.5,2022-06-21
0000071,Samsung,galaxy11,722.5,2021-07-19
0000072,Nokia,Nk400,679.0,2022-11-11
0000073,Nokia,Nk320,534.0,2020-05-22
0000074,Nokia,Nk320,636.0,2021-03-21
